macro_id,required,best_chain,best_value,lowest_cost_equivalent,longest_accretive,pareto_count,dominated_count,exact_match
0,INSPECT -> SPLIT -> REPRESENT -> COMPARE -> INFER,INSPECT -> SPLIT -> REPRESENT -> COMPARE -> INFER,1.25,INSPECT -> SPLIT -> REPRESENT -> COMPARE -> INFER,INSPECT -> SPLIT -> REPRESENT -> COMPARE -> INFER,5,3335,True
1,COMPILE -> INSPECT -> INSPECT -> TEST -> CHALLENGE -> CLOSE,COMPILE -> INSPECT -> INSPECT -> TEST -> CHALLENGE -> CLOSE,1.2,COMPILE -> INSPECT -> INSPECT -> TEST -> CHALLENGE -> CLOSE,COMPILE -> INSPECT -> INSPECT -> TEST -> CHALLENGE -> CLOSE,6,5894,True
2,TEST -> INSPECT -> SPLIT -> INFER -> TEST -> UPDATE -> TEST,TEST -> INSPECT -> SPLIT -> INFER -> TEST -> UPDATE -> TEST,1.15,TEST -> INSPECT -> SPLIT -> INFER -> TEST -> UPDATE -> TEST,TEST -> INSPECT -> SPLIT -> INFER -> TEST -> UPDATE -> TEST,7,8453,True
3,COMPILE -> EXPAND -> EVALUATE -> TEST -> SELECT,COMPILE -> EXPAND -> EVALUATE -> TEST -> SELECT,1.25,COMPILE -> EXPAND -> EVALUATE -> TEST -> SELECT,COMPILE -> EXPAND -> EVALUATE -> TEST -> SELECT,5,3335,True
4,VERIFY -> ACT -> INSPECT -> TEST -> VERIFY,VERIFY -> ACT -> INSPECT -> TEST -> VERIFY,1.25,VERIFY -> ACT -> INSPECT -> TEST -> VERIFY,VERIFY -> ACT -> INSPECT -> TEST -> VERIFY,5,1359,True
5,COMPILE -> EXPAND -> REPRESENT -> EVALUATE -> CHALLENGE -> SELECT -> COMPILE,COMPILE -> EXPAND -> REPRESENT -> EVALUATE -> CHALLENGE -> SELECT -> COMPILE,1.15,COMPILE -> EXPAND -> REPRESENT -> EVALUATE -> CHALLENGE -> SELECT -> COMPILE,COMPILE -> EXPAND -> REPRESENT -> EVALUATE -> CHALLENGE -> SELECT -> COMPILE,7,10763,True
6,ACQUIRE -> REPRESENT -> INFER -> INFER -> CHALLENGE -> CLOSE,ACQUIRE -> REPRESENT -> INFER -> INFER -> CHALLENGE -> CLOSE,1.2,ACQUIRE -> REPRESENT -> INFER -> INFER -> CHALLENGE -> CLOSE,ACQUIRE -> REPRESENT -> INFER -> INFER -> CHALLENGE -> CLOSE,6,5894,True
7,INSPECT -> COMPILE -> ACT -> TEST -> VERIFY,INSPECT -> COMPILE -> ACT -> TEST -> VERIFY,1.25,INSPECT -> COMPILE -> ACT -> TEST -> VERIFY,INSPECT -> COMPILE -> ACT -> TEST -> VERIFY,5,3335,True
8,ACQUIRE -> INSPECT -> INFER -> TEST -> UPDATE,ACQUIRE -> INSPECT -> INFER -> TEST -> UPDATE,1.25,ACQUIRE -> INSPECT -> INFER -> TEST -> UPDATE,ACQUIRE -> INSPECT -> INFER -> TEST -> UPDATE,5,3335,True
9,INSPECT -> REPRESENT -> TRANSFORM -> ACT -> UPDATE -> VERIFY,INSPECT -> REPRESENT -> TRANSFORM -> ACT -> UPDATE -> VERIFY,1.2,INSPECT -> REPRESENT -> TRANSFORM -> ACT -> UPDATE -> VERIFY,INSPECT -> REPRESENT -> TRANSFORM -> ACT -> UPDATE -> VERIFY,6,7692,True
